iter	Passed	Remaining
0	12	1197
1	13	640
2	13	452
3	14	353
4	15	297
5	16	259
6	17	232
7	18	211
8	19	195
9	20	182
10	22	179
11	23	173
12	25	169
13	26	161
14	27	154
15	28	148
16	29	142
17	30	137
18	31	133
19	32	128
20	33	124
21	34	120
22	35	117
23	37	117
24	38	116
25	40	114
26	41	112
27	42	109
28	43	106
29	44	103
30	45	100
31	46	98
32	47	95
33	47	93
34	48	90
35	49	88
36	50	86
37	52	86
38	53	84
39	55	82
40	56	81
41	56	78
42	58	77
43	59	75
44	60	73
45	61	71
46	62	69
47	62	68
48	63	66
49	64	64
50	65	63
51	67	62
52	69	61
53	70	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	75	50
60	76	48
61	77	47
62	78	45
63	79	44
64	79	43
65	81	41
66	82	40
67	84	39
68	85	38
69	86	36
70	87	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	98	21
82	99	20
83	100	19
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	113	3
97	114	2
98	115	1
99	115	0
